Col1 Col2 Hittite Armenian Greek Albanian TochB Vedic Avestan OCS Lith OEng OIr Latin Luvian Lycian TochA Persian OPruss Latvian Gothic ONorse OHG Welsh Oscan Umbrian

!1 affix 9 0 0 0 0 0 0 1 1 0 0 0 9 9 0 0 9 1 0 0 0 0 0 0 
!2 priva 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
!3 genit 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 9 1 2 0 2 0 0 0 
!4 doubl 3 1 2 3 0 0 0 1 1 3 0 0 3 9 0 0 1 1 0 3 3 0 9 0 
!5 indef 0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 9 1 1 1 1 1 0 0 0 
!6 clau1 1 9 9 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 
!7 clau2 9 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 
!8 vbpre 0 2 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 
!9 posit 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 1 1 
!10 depe 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 

